season,wins,draws,losses,points
507,12,12,10,48
508,14,10,10,52
509,15,11,8,56
510,15,9,10,54
511,17,6,11,57
512,17,2,15,53
513,19,3,12,60
514,15,8,11,53
515,15,11,8,56
516,21,6,7,69
517,18,6,10,60
518,14,6,14,48
519,17,5,12,56
520,20,6,8,66
521,21,8,5,71
522,14,9,11,51
523,17,5,12,56
524,15,8,11,53
525,13,5,16,44
526,15,4,15,49
527,19,6,9,63
528,24,3,7,75
529,15,10,9,55
530,14,8,12,50
531,19,5,10,62
532,18,4,12,58
533,22,5,7,71
534,17,11,6,62
535,18,7,9,61
536,15,9,10,54
537,18,6,10,60
538,14,3,17,45
539,16,10,8,58
540,15,6,13,51
541,18,8,8,62
542,19,2,13,59
543,17,4,13,55
544,14,7,13,49
545,17,10,7,61
546,14,8,12,50
547,12,10,12,46
548,18,6,10,60
549,15,11,8,56
550,15,8,11,53
551,21,3,10,66
552,18,6,10,60
553,10,8,16,38
554,19,6,9,63
555,19,6,9,63
556,17,5,12,56
557,17,7,10,58
558,14,5,15,47
559,15,9,10,54
560,19,3,12,60
561,13,6,15,45
562,19,6,9,63
563,19,6,9,63
564,18,6,10,60
565,16,9,9,57
566,13,8,13,47
567,11,6,17,39
568,13,7,14,46
569,20,5,9,65
570,19,7,8,64
571,21,4,9,67
572,17,6,11,57
573,20,6,8,66
574,13,9,12,48
575,15,9,10,54
576,13,10,11,49
577,17,11,6,62
578,15,7,12,52
579,12,8,14,44
580,16,7,11,55
581,16,5,13,53
582,13,8,13,47
583,17,5,12,56
584,13,9,12,48
585,13,12,9,51
586,19,7,8,64
587,19,5,10,62
588,18,4,12,58
589,16,8,10,56
590,19,5,10,62
591,15,10,9,55
592,13,6,15,45
593,18,5,11,59
594,14,10,10,52
595,16,9,9,57
596,18,6,10,60
597,17,8,9,59
598,13,7,14,46
599,22,4,8,70
600,13,8,13,47
601,14,10,10,52
602,18,4,12,58
603,13,8,13,47
604,12,7,15,43
605,17,6,11,57
606,11,10,13,43
607,13,6,15,45
608,16,6,12,54
609,18,5,11,59
610,13,11,10,50
611,12,7,15,43
612,14,8,12,50
613,17,8,9,59
614,18,9,7,63
615,18,9,7,63
616,15,3,16,48
617,16,11,7,59
618,18,9,7,63
619,15,6,13,51
620,14,7,13,49
621,15,6,13,51
622,19,6,9,63
623,16,9,9,57
624,15,7,12,52
625,14,9,11,51
626,9,8,17,35
627,17,6,11,57
628,12,7,15,43
629,11,6,17,39
630,16,7,11,55
631,20,6,8,66
632,19,7,8,64
633,12,12,10,48
634,19,7,8,64
635,11,10,13,43
636,18,10,6,64
637,21,6,7,69
638,13,8,13,47
639,18,6,10,60
640,14,8,12,50
641,10,11,13,41
642,20,5,9,65
643,14,12,8,54
644,12,9,13,45
645,14,8,12,50
646,18,5,11,59
647,14,9,11,51
648,15,10,9,55
649,23,7,4,76
650,18,6,10,60
651,21,5,8,68
652,14,10,10,52
653,14,7,13,49
654,16,7,11,55
655,17,5,12,56
656,16,8,10,56
657,18,6,10,60
658,15,11,8,56
659,15,5,14,50
660,13,10,11,49
661,16,7,11,55
662,18,5,11,59
663,18,5,11,59
664,19,5,10,62
665,14,9,11,51
666,15,10,9,55
667,16,9,9,57
668,12,13,9,49
669,15,9,10,54
670,14,9,11,51
671,17,5,12,56
672,19,7,8,64
673,12,8,14,44
674,13,10,11,49
675,18,5,11,59
676,21,6,7,69
677,11,6,17,39
678,11,9,14,42
679,20,7,7,67
680,15,5,14,50
681,19,2,13,59
682,16,7,11,55
683,19,9,6,66
684,18,3,13,57
685,20,5,9,65
686,14,7,13,49
687,22,8,4,74
688,17,8,9,59
689,17,11,6,62
690,13,7,14,46
691,22,7,5,73
692,16,10,8,58
693,16,4,14,52
694,18,11,5,65
695,14,8,12,50
696,14,10,10,52
697,16,11,7,59
698,16,10,8,58
699,21,6,7,69
700,15,6,13,51
701,15,7,12,52
702,12,8,14,44
703,15,4,15,49
704,22,6,6,72
705,21,9,4,72
706,16,5,13,53
707,13,10,11,49
708,16,6,12,54
709,15,10,9,55
710,18,7,9,61
711,21,6,7,69
712,11,13,10,46
713,12,8,14,44
714,18,7,9,61
715,19,8,7,65
716,16,6,12,54
717,16,10,8,58
718,18,4,12,58
719,21,6,7,69
720,12,7,15,43
721,15,5,14,50
722,15,11,8,56
723,11,9,14,42
724,13,7,14,46
725,15,9,10,54
726,19,5,10,62
727,17,6,11,57
728,9,11,14,38
729,18,3,13,57
730,16,8,10,56
731,17,6,11,57
732,19,5,10,62
733,17,7,10,58
734,15,9,10,54
735,15,8,11,53
736,14,5,15,47
737,16,9,9,57
738,16,8,10,56
739,15,4,15,49
740,15,7,12,52
741,18,6,10,60
742,9,7,18,34
743,20,6,8,66
744,20,1,13,61
745,14,10,10,52
746,15,10,9,55
747,14,9,11,51
748,18,9,7,63
749,17,8,9,59
750,17,7,10,58
751,18,6,10,60
752,19,9,6,66
753,18,7,9,61
754,14,6,14,48
755,15,11,8,56
756,12,6,16,42
757,13,8,13,47
758,17,11,6,62
759,17,6,11,57
760,13,8,13,47
761,16,8,10,56
762,15,4,15,49
763,15,5,14,50
764,18,2,14,56
765,15,4,15,49
766,16,6,12,54
767,17,7,10,58
768,15,12,7,57
769,14,9,11,51
770,15,4,15,49
771,15,3,16,48
772,14,9,11,51
773,13,5,16,44
774,19,2,13,59
775,14,5,15,47
776,14,8,12,50
777,18,3,13,57
778,17,8,9,59
779,15,3,16,48
780,16,4,14,52
781,17,4,13,55
782,14,8,12,50
783,15,10,9,55
784,19,5,10,62
785,20,6,8,66
786,18,7,9,61
787,18,4,12,58
788,14,5,15,47
789,19,6,9,63
790,18,5,11,59
791,7,8,19,29
792,11,11,12,44
793,11,10,13,43
794,15,5,14,50
795,18,6,10,60
796,18,6,10,60
797,17,6,11,57
798,15,11,8,56
799,16,7,11,55
800,14,7,13,49
801,15,7,12,52
802,13,8,13,47
803,15,11,8,56
804,14,10,10,52
805,16,4,14,52
806,15,6,13,51
807,16,7,11,55
808,16,5,13,53
809,17,8,9,59
810,18,4,12,58
811,14,8,12,50
812,19,7,8,64
813,14,5,15,47
814,8,13,13,37
815,18,5,11,59
816,17,11,6,62
817,13,10,11,49
818,20,8,6,68
819,16,3,15,51
820,16,6,12,54
821,21,5,8,68
822,12,8,14,44
823,16,10,8,58
824,17,7,10,58
825,15,15,4,60
826,18,9,7,63
827,19,5,10,62
828,18,3,13,57
829,11,12,11,45
830,21,8,5,71
831,19,5,10,62
832,15,9,10,54
833,12,9,13,45
834,18,8,8,62
835,16,6,12,54
836,20,5,9,65
837,19,8,7,65
838,13,12,9,51
839,18,5,11,59
840,18,3,13,57
841,14,8,12,50
842,18,7,9,61
843,18,5,11,59
844,14,6,14,48
845,16,5,13,53
846,19,5,10,62
847,16,9,9,57
848,22,4,8,70
849,18,6,10,60
850,13,11,10,50
851,12,9,13,45
852,15,6,13,51
853,18,7,9,61
854,16,7,11,55
855,15,11,8,56
856,14,6,14,48
857,12,9,13,45
858,14,8,12,50
859,15,5,14,50
860,15,12,7,57
861,17,3,14,54
862,12,11,11,47
863,14,10,10,52
864,20,7,7,67
865,12,4,18,40
866,19,7,8,64
867,14,6,14,48
868,11,10,13,43
869,12,6,16,42
870,15,9,10,54
871,14,8,12,50
872,12,13,9,49
873,18,5,11,59
874,16,4,14,52
875,18,5,11,59
876,18,7,9,61
877,17,6,11,57
878,23,3,8,72
879,22,6,6,72
880,17,6,11,57
881,19,7,8,64
882,15,8,11,53
883,18,7,9,61
884,12,10,12,46
885,16,10,8,58
886,21,4,9,67
887,21,3,10,66
888,17,7,10,58
889,14,8,12,50
890,14,11,9,53
891,17,8,9,59
892,14,8,12,50
893,22,7,5,73
894,17,6,11,57
895,15,8,11,53
896,15,10,9,55
897,19,4,11,61
898,16,9,9,57
899,19,9,6,66
900,19,9,6,66
901,19,6,9,63
902,13,11,10,50
903,14,10,10,52
904,18,5,11,59
905,11,9,14,42
906,17,8,9,59
907,19,5,10,62
908,14,12,8,54
909,17,12,5,63
910,13,10,11,49
911,14,9,11,51
912,15,6,13,51
913,19,3,12,60
914,14,7,13,49
915,14,9,11,51
916,14,4,16,46
917,19,5,10,62
918,10,10,14,40
919,21,6,7,69
920,16,9,9,57
921,16,8,10,56
922,14,8,12,50
923,12,6,16,42
924,11,9,14,42
925,14,10,10,52
926,20,7,7,67
927,15,10,9,55
928,16,7,11,55
929,21,3,10,66
930,20,8,6,68
931,14,12,8,54
932,9,11,14,38
933,19,4,11,61
934,16,9,9,57
935,17,5,12,56
936,18,2,14,56
937,17,8,9,59
938,12,9,13,45
939,18,8,8,62
940,15,7,12,52
941,17,7,10,58
942,17,4,13,55
943,13,8,13,47
944,20,3,11,63
945,12,9,13,45
946,19,6,9,63
947,15,11,8,56
948,13,11,10,50
949,18,6,10,60
950,16,9,9,57
951,11,13,10,46
952,15,7,12,52
953,17,9,8,60
954,20,5,9,65
955,13,12,9,51
956,17,7,10,58
957,20,6,8,66
958,15,13,6,58
959,16,7,11,55
960,12,7,15,43
961,16,6,12,54
962,18,8,8,62
963,17,6,11,57
964,16,9,9,57
965,17,9,8,60
966,21,4,9,67
967,18,10,6,64
968,13,8,13,47
969,15,9,10,54
970,17,6,11,57
971,19,6,9,63
972,19,6,9,63
973,15,4,15,49
974,16,8,10,56
975,13,8,13,47
976,17,9,8,60
977,12,9,13,45
978,17,5,12,56
979,16,12,6,60
980,17,7,10,58
981,18,7,9,61
982,11,9,14,42
983,19,4,11,61
984,15,8,11,53
985,14,5,15,47
986,21,3,10,66
987,16,8,10,56
988,19,6,9,63
989,15,6,13,51
990,15,4,15,49
991,11,5,18,38
992,15,9,10,54
993,12,8,14,44
994,10,12,12,42
995,13,6,15,45
996,15,8,11,53
997,21,4,9,67
998,16,7,11,55
999,15,9,10,54
1000,18,6,10,60
1001,15,4,15,49
1002,18,3,13,57
1003,12,11,11,47
1004,16,6,12,54
