season,wins,draws,losses,points
2630,14,10,10,52
2631,17,5,12,56
2632,11,12,11,45
2633,16,5,13,53
2634,15,11,8,56
2635,15,10,9,55
2636,17,7,10,58
2637,13,7,14,46
2638,16,8,10,56
2639,15,7,12,52
2640,16,11,7,59
2641,22,4,8,70
2642,13,9,12,48
2643,18,7,9,61
2644,15,7,12,52
2645,18,7,9,61
2646,18,8,8,62
2647,18,4,12,58
2648,15,4,15,49
2649,13,10,11,49
2650,15,7,12,52
2651,21,6,7,69
2652,17,6,11,57
2653,19,7,8,64
2654,19,5,10,62
2655,19,5,10,62
2656,12,13,9,49
2657,12,7,15,43
2658,21,3,10,66
2659,20,5,9,65
2660,17,10,7,61
2661,17,6,11,57
2662,19,5,10,62
2663,12,9,13,45
2664,12,9,13,45
2665,19,6,9,63
2666,18,8,8,62
2667,14,11,9,53
2668,13,5,16,44
2669,13,7,14,46
2670,15,7,12,52
2671,12,8,14,44
2672,14,9,11,51
2673,16,8,10,56
2674,12,8,14,44
2675,18,6,10,60
2676,20,5,9,65
2677,9,12,13,39
2678,14,8,12,50
2679,14,8,12,50
2680,12,8,14,44
2681,19,5,10,62
2682,16,6,12,54
2683,13,7,14,46
2684,16,8,10,56
2685,14,8,12,50
2686,19,6,9,63
2687,17,5,12,56
2688,11,9,14,42
2689,20,4,10,64
2690,11,13,10,46
2691,19,8,7,65
2692,13,12,9,51
2693,10,7,17,37
2694,15,8,11,53
2695,17,8,9,59
2696,13,10,11,49
2697,19,5,10,62
2698,16,9,9,57
2699,15,11,8,56
2700,21,6,7,69
2701,18,9,7,63
2702,18,10,6,64
2703,11,13,10,46
2704,18,7,9,61
2705,17,3,14,54
2706,19,6,9,63
2707,19,8,7,65
2708,12,8,14,44
2709,15,9,10,54
2710,20,6,8,66
2711,14,11,9,53
2712,21,6,7,69
2713,18,7,9,61
2714,16,5,13,53
2715,16,8,10,56
2716,12,10,12,46
2717,15,10,9,55
2718,19,2,13,59
2719,12,8,14,44
2720,15,6,13,51
2721,14,7,13,49
2722,16,3,15,51
2723,14,8,12,50
2724,21,3,10,66
2725,14,11,9,53
2726,18,4,12,58
2727,19,5,10,62
2728,13,10,11,49
2729,17,7,10,58
2730,19,7,8,64
2731,16,6,12,54
2732,13,14,7,53
2733,16,8,10,56
2734,14,8,12,50
2735,16,6,12,54
2736,15,10,9,55
2737,23,1,10,70
2738,19,5,10,62
2739,13,13,8,52
2740,14,12,8,54
2741,18,7,9,61
2742,16,9,9,57
2743,15,5,14,50
2744,12,10,12,46
2745,17,10,7,61
2746,13,8,13,47
2747,21,3,10,66
2748,13,7,14,46
2749,17,5,12,56
2750,18,6,10,60
2751,23,1,10,70
2752,18,6,10,60
2753,15,7,12,52
2754,13,7,14,46
2755,15,6,13,51
2756,12,7,15,43
2757,16,7,11,55
2758,23,6,5,75
2759,22,7,5,73
2760,17,7,10,58
2761,13,9,12,48
2762,14,8,12,50
2763,15,8,11,53
2764,16,4,14,52
2765,13,9,12,48
2766,16,5,13,53
2767,14,7,13,49
2768,17,7,10,58
2769,16,7,11,55
2770,14,8,12,50
2771,17,5,12,56
2772,8,11,15,35
2773,21,8,5,71
2774,17,8,9,59
2775,17,8,9,59
2776,16,7,11,55
2777,13,7,14,46
2778,18,4,12,58
2779,19,2,13,59
2780,17,7,10,58
2781,16,4,14,52
2782,15,7,12,52
2783,14,6,14,48
2784,11,10,13,43
2785,16,12,6,60
2786,19,7,8,64
2787,17,4,13,55
2788,18,8,8,62
2789,21,7,6,70
2790,16,5,13,53
2791,13,9,12,48
2792,10,11,13,41
2793,15,7,12,52
2794,17,6,11,57
2795,12,9,13,45
2796,19,5,10,62
2797,13,8,13,47
2798,16,6,12,54
2799,13,7,14,46
2800,16,6,12,54
2801,19,5,10,62
2802,16,9,9,57
2803,15,10,9,55
2804,19,4,11,61
2805,23,4,7,73
2806,18,7,9,61
2807,18,2,14,56
2808,15,3,16,48
2809,18,8,8,62
2810,16,8,10,56
2811,20,6,8,66
2812,12,12,10,48
2813,19,5,10,62
2814,18,6,10,60
2815,17,6,11,57
2816,12,9,13,45
2817,16,2,16,50
2818,21,4,9,67
2819,17,8,9,59
2820,15,10,9,55
2821,17,4,13,55
2822,12,7,15,43
2823,14,7,13,49
2824,15,8,11,53
2825,17,3,14,54
2826,18,10,6,64
2827,13,9,12,48
2828,16,7,11,55
2829,15,9,10,54
2830,19,7,8,64
2831,20,6,8,66
2832,15,7,12,52
2833,10,10,14,40
2834,18,7,9,61
2835,21,5,8,68
2836,19,6,9,63
2837,18,3,13,57
2838,13,12,9,51
2839,18,8,8,62
2840,11,8,15,41
2841,21,4,9,67
2842,14,6,14,48
2843,14,9,11,51
2844,19,10,5,67
2845,16,6,12,54
2846,19,9,6,66
2847,16,9,9,57
2848,18,5,11,59
2849,20,3,11,63
2850,21,5,8,68
2851,13,11,10,50
2852,15,11,8,56
2853,12,7,15,43
2854,12,7,15,43
2855,18,6,10,60
2856,14,10,10,52
2857,21,5,8,68
2858,20,8,6,68
2859,22,6,6,72
2860,15,6,13,51
2861,18,7,9,61
2862,18,7,9,61
2863,19,9,6,66
2864,16,9,9,57
2865,17,5,12,56
2866,14,6,14,48
2867,14,7,13,49
2868,19,8,7,65
2869,14,3,17,45
2870,16,5,13,53
2871,18,2,14,56
2872,16,9,9,57
2873,21,6,7,69
2874,13,9,12,48
2875,16,5,13,53
2876,14,9,11,51
2877,16,8,10,56
2878,13,5,16,44
2879,18,7,9,61
2880,21,7,6,70
2881,18,6,10,60
2882,14,9,11,51
2883,15,6,13,51
2884,13,10,11,49
2885,18,6,10,60
2886,17,7,10,58
2887,18,7,9,61
2888,18,5,11,59
2889,15,9,10,54
2890,17,7,10,58
2891,15,12,7,57
2892,17,8,9,59
2893,17,6,11,57
2894,19,4,11,61
2895,16,6,12,54
2896,9,12,13,39
2897,19,6,9,63
2898,14,9,11,51
2899,18,5,11,59
2900,15,5,14,50
2901,15,6,13,51
2902,15,4,15,49
2903,13,4,17,43
2904,18,5,11,59
2905,19,7,8,64
2906,15,8,11,53
2907,23,6,5,75
2908,16,9,9,57
2909,20,3,11,63
2910,16,8,10,56
2911,13,13,8,52
2912,18,4,12,58
2913,17,6,11,57
2914,18,4,12,58
2915,20,7,7,67
2916,12,12,10,48
2917,14,2,18,44
2918,19,9,6,66
2919,15,8,11,53
2920,18,5,11,59
2921,11,12,11,45
2922,22,3,9,69
2923,14,12,8,54
2924,17,4,13,55
2925,14,7,13,49
2926,16,7,11,55
2927,15,8,11,53
2928,16,8,10,56
2929,16,6,12,54
2930,19,5,10,62
2931,17,7,10,58
2932,19,6,9,63
2933,19,7,8,64
2934,14,11,9,53
2935,15,8,11,53
2936,16,10,8,58
2937,12,9,13,45
2938,16,5,13,53
2939,20,6,8,66
2940,11,12,11,45
2941,14,4,16,46
2942,13,10,11,49
2943,17,6,11,57
2944,15,12,7,57
2945,14,6,14,48
2946,16,5,13,53
2947,18,6,10,60
2948,13,9,12,48
2949,7,10,17,31
2950,15,12,7,57
2951,15,8,11,53
2952,13,9,12,48
2953,19,3,12,60
2954,25,5,4,80
2955,14,6,14,48
2956,15,11,8,56
2957,13,7,14,46
2958,14,6,14,48
2959,15,9,10,54
2960,17,4,13,55
2961,17,8,9,59
2962,11,10,13,43
2963,18,6,10,60
2964,15,6,13,51
2965,17,5,12,56
2966,14,14,6,56
2967,16,12,6,60
2968,18,6,10,60
2969,15,7,12,52
2970,14,7,13,49
2971,18,7,9,61
2972,16,7,11,55
2973,14,12,8,54
2974,13,8,13,47
2975,20,3,11,63
2976,18,5,11,59
2977,15,10,9,55
2978,15,12,7,57
2979,12,7,15,43
2980,18,8,8,62
2981,16,7,11,55
2982,16,8,10,56
2983,18,4,12,58
2984,17,7,10,58
2985,11,12,11,45
2986,15,6,13,51
2987,11,6,17,39
2988,17,7,10,58
2989,17,5,12,56
2990,15,8,11,53
2991,10,6,18,36
2992,14,10,10,52
2993,20,5,9,65
2994,19,3,12,60
2995,15,9,10,54
2996,17,5,12,56
2997,16,7,11,55
2998,14,8,12,50
2999,11,12,11,45
3000,16,9,9,57
3001,21,4,9,67
3002,17,4,13,55
3003,19,4,11,61
3004,16,2,16,50
3005,19,9,6,66
3006,19,7,8,64
3007,18,7,9,61
3008,16,8,10,56
3009,15,6,13,51
3010,14,8,12,50
3011,17,5,12,56
3012,15,8,11,53
3013,17,5,12,56
3014,12,11,11,47
3015,17,7,10,58
3016,16,5,13,53
3017,20,5,9,65
3018,16,3,15,51
3019,17,9,8,60
3020,17,4,13,55
3021,19,8,7,65
3022,23,7,4,76
3023,22,6,6,72
3024,17,7,10,58
3025,17,4,13,55
3026,17,4,13,55
3027,16,11,7,59
3028,16,10,8,58
3029,14,8,12,50
3030,22,6,6,72
3031,10,13,11,43
3032,17,7,10,58
3033,12,7,15,43
3034,17,7,10,58
3035,13,7,14,46
3036,19,8,7,65
3037,22,6,6,72
3038,15,11,8,56
3039,19,6,9,63
3040,17,8,9,59
3041,21,6,7,69
3042,18,4,12,58
3043,15,6,13,51
3044,23,5,6,74
3045,14,5,15,47
3046,19,5,10,62
3047,21,2,11,65
3048,14,5,15,47
3049,20,7,7,67
3050,13,12,9,51
3051,19,7,8,64
3052,18,9,7,63
3053,13,8,13,47
3054,13,12,9,51
3055,16,7,11,55
3056,20,7,7,67
3057,10,14,10,44
3058,9,12,13,39
3059,16,7,11,55
3060,15,5,14,50
3061,15,10,9,55
3062,17,8,9,59
3063,11,6,17,39
3064,14,10,10,52
3065,9,15,10,42
3066,18,5,11,59
3067,16,8,10,56
3068,17,6,11,57
3069,17,6,11,57
3070,11,8,15,41
3071,13,6,15,45
3072,16,9,9,57
3073,19,7,8,64
3074,14,13,7,55
3075,13,6,15,45
3076,18,8,8,62
3077,16,8,10,56
3078,15,12,7,57
3079,18,6,10,60
3080,16,7,11,55
3081,19,5,10,62
3082,17,8,9,59
3083,16,11,7,59
3084,14,8,12,50
3085,16,5,13,53
3086,16,7,11,55
3087,16,8,10,56
3088,18,7,9,61
3089,15,6,13,51
3090,14,5,15,47
3091,20,8,6,68
3092,17,7,10,58
3093,12,9,13,45
3094,13,11,10,50
3095,11,11,12,44
3096,18,10,6,64
3097,16,8,10,56
3098,16,7,11,55
3099,19,9,6,66
3100,17,3,14,54
3101,13,7,14,46
3102,14,11,9,53
3103,16,4,14,52
3104,16,6,12,54
3105,19,5,10,62
3106,17,7,10,58
3107,15,5,14,50
3108,11,9,14,42
3109,17,7,10,58
3110,12,7,15,43
3111,15,9,10,54
3112,22,9,3,75
3113,17,6,11,57
3114,11,7,16,40
3115,22,6,6,72
3116,16,8,10,56
3117,14,8,12,50
3118,15,4,15,49
3119,18,4,12,58
3120,19,4,11,61
3121,13,5,16,44
3122,21,9,4,72
3123,18,6,10,60
3124,16,7,11,55
3125,20,2,12,62
3126,18,9,7,63
3127,13,9,12,48
3128,22,6,6,72
3129,17,5,12,56
3130,15,9,10,54
3131,14,9,11,51
3132,15,5,14,50
3133,21,5,8,68
3134,12,10,12,46
3135,13,9,12,48
3136,14,7,13,49
3137,16,7,11,55
3138,14,7,13,49
3139,17,8,9,59
3140,11,13,10,46
3141,13,8,13,47
3142,13,8,13,47
3143,16,10,8,58
3144,17,3,14,54
3145,20,6,8,66
3146,18,3,13,57
3147,18,3,13,57
3148,9,10,15,37
3149,16,10,8,58
3150,16,9,9,57
3151,13,12,9,51
3152,14,8,12,50
3153,16,6,12,54
3154,14,8,12,50
3155,17,8,9,59
3156,11,6,17,39
3157,16,10,8,58
3158,16,9,9,57
3159,17,7,10,58
3160,13,10,11,49
3161,17,8,9,59
3162,12,7,15,43
3163,15,9,10,54
3164,16,7,11,55
3165,23,5,6,74
3166,15,10,9,55
3167,21,5,8,68
3168,10,10,14,40
3169,15,6,13,51
3170,19,4,11,61
3171,19,6,9,63
3172,17,5,12,56
3173,18,10,6,64
3174,19,6,9,63
3175,15,9,10,54
3176,12,7,15,43
3177,16,8,10,56
3178,18,7,9,61
3179,17,4,13,55
3180,17,9,8,60
3181,11,8,15,41
3182,14,7,13,49
3183,13,6,15,45
3184,17,8,9,59
3185,20,6,8,66
3186,18,7,9,61
3187,15,9,10,54
3188,12,6,16,42
3189,19,5,10,62
3190,14,10,10,52
3191,23,4,7,73
3192,12,8,14,44
3193,15,8,11,53
3194,13,7,14,46
3195,16,6,12,54
3196,18,7,9,61
3197,12,13,9,49
3198,13,13,8,52
3199,13,10,11,49
3200,13,8,13,47
3201,18,9,7,63
3202,14,9,11,51
3203,14,4,16,46
3204,14,9,11,51
3205,10,10,14,40
3206,18,5,11,59
3207,19,6,9,63
3208,22,6,6,72
3209,20,9,5,69
3210,15,8,11,53
3211,19,5,10,62
3212,15,4,15,49
3213,12,3,19,39
3214,12,11,11,47
3215,16,10,8,58
3216,17,6,11,57
3217,19,4,11,61
3218,12,12,10,48
3219,12,12,10,48
3220,14,5,15,47
3221,16,12,6,60
3222,14,10,10,52
3223,18,7,9,61
3224,13,7,14,46
3225,15,8,11,53
3226,17,7,10,58
3227,18,3,13,57
3228,16,4,14,52
3229,17,6,11,57
3230,17,6,11,57
3231,15,8,11,53
3232,19,5,10,62
3233,14,6,14,48
3234,17,9,8,60
3235,18,6,10,60
3236,14,4,16,46
3237,12,9,13,45
3238,13,11,10,50
3239,15,9,10,54
3240,17,6,11,57
3241,14,10,10,52
3242,13,11,10,50
3243,16,8,10,56
3244,14,7,13,49
3245,22,5,7,71
3246,20,7,7,67
3247,18,4,12,58
3248,16,8,10,56
3249,15,7,12,52
3250,12,7,15,43
3251,14,9,11,51
3252,17,9,8,60
3253,20,3,11,63
3254,17,2,15,53
3255,16,8,10,56
3256,18,7,9,61
3257,19,6,9,63
3258,14,6,14,48
3259,18,5,11,59
3260,16,6,12,54
3261,18,6,10,60
3262,17,5,12,56
3263,15,7,12,52
3264,14,10,10,52
3265,24,1,9,73
3266,16,6,12,54
3267,13,9,12,48
3268,21,5,8,68
3269,18,9,7,63
3270,19,9,6,66
3271,16,7,11,55
3272,19,7,8,64
3273,17,7,10,58
3274,18,5,11,59
3275,16,6,12,54
3276,14,10,10,52
3277,18,7,9,61
3278,17,9,8,60
3279,19,7,8,64
3280,15,13,6,58
3281,16,9,9,57
3282,8,11,15,35
3283,19,2,13,59
3284,14,8,12,50
3285,16,6,12,54
3286,15,9,10,54
3287,16,5,13,53
3288,16,8,10,56
3289,16,7,11,55
3290,17,9,8,60
3291,13,5,16,44
3292,17,5,12,56
3293,15,3,16,48
3294,14,8,12,50
3295,9,11,14,38
3296,19,5,10,62
3297,18,6,10,60
3298,22,2,10,68
3299,15,7,12,52
3300,18,8,8,62
3301,21,6,7,69
3302,18,5,11,59
3303,14,9,11,51
3304,14,6,14,48
3305,21,2,11,65
3306,18,4,12,58
3307,18,4,12,58
3308,19,9,6,66
3309,16,9,9,57
3310,17,5,12,56
3311,15,9,10,54
3312,17,8,9,59
3313,9,10,15,37
3314,18,4,12,58
3315,19,3,12,60
3316,15,5,14,50
3317,16,10,8,58
3318,16,8,10,56
3319,17,8,9,59
3320,12,8,14,44
3321,17,9,8,60
3322,16,9,9,57
3323,13,6,15,45
3324,16,9,9,57
3325,18,5,11,59
3326,16,8,10,56
3327,16,9,9,57
3328,16,5,13,53
3329,17,10,7,61
3330,19,7,8,64
3331,18,7,9,61
3332,16,7,11,55
3333,14,6,14,48
3334,13,10,11,49
3335,11,7,16,40
3336,19,4,11,61
3337,17,5,12,56
3338,18,4,12,58
3339,16,8,10,56
3340,17,10,7,61
3341,17,6,11,57
3342,13,7,14,46
3343,12,9,13,45
3344,22,3,9,69
3345,17,7,10,58
3346,15,10,9,55
3347,14,10,10,52
3348,15,8,11,53
3349,17,6,11,57
3350,19,4,11,61
3351,23,3,8,72
3352,12,9,13,45
3353,13,6,15,45
3354,18,6,10,60
3355,12,10,12,46
3356,22,3,9,69
3357,15,10,9,55
3358,18,7,9,61
3359,17,7,10,58
3360,13,11,10,50
3361,18,5,11,59
3362,15,11,8,56
3363,17,6,11,57
3364,14,10,10,52
3365,18,5,11,59
3366,17,8,9,59
3367,12,12,10,48
3368,16,7,11,55
3369,12,3,19,39
3370,19,6,9,63
3371,14,6,14,48
3372,13,11,10,50
3373,17,6,11,57
3374,17,5,12,56
3375,20,4,10,64
3376,20,8,6,68
3377,14,7,13,49
3378,18,5,11,59
3379,13,7,14,46
3380,13,5,16,44
3381,11,9,14,42
3382,18,8,8,62
3383,16,10,8,58
3384,14,8,12,50
3385,16,6,12,54
3386,16,8,10,56
3387,11,9,14,42
3388,17,7,10,58
3389,19,5,10,62
3390,17,8,9,59
3391,13,10,11,49
3392,20,9,5,69
3393,17,5,12,56
3394,16,4,14,52
3395,14,11,9,53
3396,16,6,12,54
3397,12,10,12,46
3398,19,7,8,64
3399,12,10,12,46
3400,10,10,14,40
3401,17,5,12,56
3402,11,7,16,40
3403,18,7,9,61
3404,15,7,12,52
3405,14,7,13,49
3406,19,5,10,62
3407,13,7,14,46
3408,13,9,12,48
3409,13,9,12,48
3410,16,7,11,55
3411,11,9,14,42
3412,18,8,8,62
3413,14,5,15,47
3414,18,9,7,63
3415,15,10,9,55
3416,13,6,15,45
3417,14,7,13,49
3418,17,7,10,58
3419,15,5,14,50
3420,17,6,11,57
3421,17,4,13,55
3422,17,8,9,59
3423,16,8,10,56
3424,14,5,15,47
3425,13,8,13,47
3426,13,8,13,47
3427,16,7,11,55
3428,16,8,10,56
3429,16,6,12,54
3430,19,8,7,65
3431,13,12,9,51
3432,17,6,11,57
3433,19,6,9,63
3434,16,8,10,56
3435,19,9,6,66
3436,17,5,12,56
3437,12,7,15,43
3438,18,5,11,59
3439,13,10,11,49
3440,15,6,13,51
3441,14,9,11,51
3442,15,8,11,53
3443,20,6,8,66
3444,13,6,15,45
3445,10,10,14,40
3446,17,6,11,57
3447,19,2,13,59
3448,14,9,11,51
3449,15,5,14,50
3450,17,10,7,61
3451,22,7,5,73
3452,18,4,12,58
3453,18,6,10,60
3454,18,7,9,61
3455,13,9,12,48
3456,12,6,16,42
3457,16,7,11,55
3458,17,6,11,57
3459,17,6,11,57
3460,17,6,11,57
3461,15,5,14,50
3462,20,4,10,64
3463,18,9,7,63
3464,23,5,6,74
3465,22,4,8,70
3466,17,4,13,55
3467,10,8,16,38
3468,22,4,8,70
3469,20,6,8,66
3470,21,6,7,69
3471,18,6,10,60
3472,17,11,6,62
3473,13,8,13,47
3474,20,7,7,67
3475,16,8,10,56
3476,14,10,10,52
3477,13,9,12,48
3478,20,3,11,63
3479,16,5,13,53
3480,18,6,10,60
3481,15,7,12,52
3482,12,12,10,48
3483,17,6,11,57
3484,13,6,15,45
3485,18,7,9,61
3486,14,9,11,51
3487,17,6,11,57
3488,17,7,10,58
3489,16,6,12,54
3490,12,10,12,46
3491,15,9,10,54
3492,14,11,9,53
3493,19,6,9,63
3494,17,7,10,58
3495,15,7,12,52
3496,18,7,9,61
3497,12,11,11,47
3498,16,4,14,52
3499,18,8,8,62
3500,15,6,13,51
3501,16,7,11,55
3502,15,12,7,57
3503,17,9,8,60
3504,16,11,7,59
3505,17,5,12,56
3506,21,5,8,68
3507,15,12,7,57
3508,16,3,15,51
3509,22,7,5,73
3510,15,5,14,50
3511,13,8,13,47
3512,19,5,10,62
3513,18,4,12,58
3514,13,12,9,51
3515,15,11,8,56
3516,22,7,5,73
3517,19,5,10,62
3518,16,6,12,54
3519,15,6,13,51
3520,14,8,12,50
3521,15,10,9,55
3522,16,7,11,55
3523,18,5,11,59
3524,16,10,8,58
3525,15,6,13,51
3526,16,5,13,53
3527,17,5,12,56
3528,17,5,12,56
3529,15,12,7,57
3530,20,9,5,69
3531,17,5,12,56
3532,15,7,12,52
3533,20,5,9,65
3534,21,5,8,68
3535,20,7,7,67
3536,13,6,15,45
3537,16,11,7,59
3538,14,5,15,47
3539,11,13,10,46
3540,18,2,14,56
3541,14,6,14,48
3542,11,9,14,42
3543,18,4,12,58
3544,16,6,12,54
3545,14,9,11,51
3546,19,5,10,62
3547,15,7,12,52
3548,19,4,11,61
3549,12,9,13,45
3550,12,11,11,47
3551,14,13,7,55
3552,14,7,13,49
3553,17,8,9,59
3554,17,6,11,57
3555,12,9,13,45
3556,15,7,12,52
3557,12,9,13,45
3558,12,9,13,45
3559,17,9,8,60
3560,14,6,14,48
3561,15,6,13,51
3562,16,7,11,55
3563,14,9,11,51
3564,19,4,11,61
3565,23,6,5,75
3566,14,6,14,48
3567,19,6,9,63
3568,20,3,11,63
3569,22,5,7,71
3570,19,7,8,64
3571,17,3,14,54
3572,17,11,6,62
3573,16,8,10,56
3574,12,9,13,45
3575,18,7,9,61
3576,16,2,16,50
3577,18,6,10,60
3578,18,5,11,59
3579,16,3,15,51
3580,13,12,9,51
3581,18,3,13,57
3582,16,4,14,52
3583,15,8,11,53
3584,12,10,12,46
3585,18,7,9,61
3586,14,9,11,51
3587,20,7,7,67
3588,16,8,10,56
3589,12,11,11,47
3590,15,11,8,56
3591,16,4,14,52
3592,16,8,10,56
3593,13,8,13,47
3594,16,4,14,52
3595,15,11,8,56
3596,13,8,13,47
3597,16,5,13,53
3598,17,7,10,58
3599,18,4,12,58
3600,14,8,12,50
3601,13,8,13,47
3602,16,6,12,54
3603,11,9,14,42
3604,21,6,7,69
3605,18,8,8,62
3606,11,9,14,42
3607,15,3,16,48
3608,15,6,13,51
3609,12,11,11,47
3610,19,4,11,61
3611,18,3,13,57
3612,22,7,5,73
3613,10,9,15,39
3614,18,6,10,60
3615,12,8,14,44
3616,17,7,10,58
3617,17,7,10,58
3618,17,9,8,60
3619,17,8,9,59
3620,15,6,13,51
3621,21,5,8,68
3622,14,12,8,54
3623,16,9,9,57
3624,12,9,13,45
3625,14,7,13,49
3626,18,5,11,59
3627,16,2,16,50
3628,20,5,9,65
3629,19,6,9,63
3630,14,7,13,49
3631,14,7,13,49
3632,20,7,7,67
3633,16,6,12,54
3634,13,8,13,47
3635,15,11,8,56
3636,17,9,8,60
3637,15,6,13,51
3638,12,9,13,45
3639,15,4,15,49
3640,15,10,9,55
3641,14,6,14,48
3642,14,8,12,50
3643,15,9,10,54
3644,14,10,10,52
3645,13,11,10,50
3646,15,6,13,51
3647,21,6,7,69
3648,17,7,10,58
3649,17,7,10,58
3650,18,5,11,59
3651,16,8,10,56
3652,15,9,10,54
3653,17,7,10,58
3654,17,4,13,55
3655,17,5,12,56
3656,12,12,10,48
3657,18,6,10,60
3658,12,11,11,47
3659,12,11,11,47
3660,19,4,11,61
3661,24,5,5,77
3662,16,9,9,57
3663,13,8,13,47
3664,17,7,10,58
3665,15,4,15,49
3666,13,8,13,47
3667,12,10,12,46
3668,18,6,10,60
3669,15,12,7,57
3670,19,5,10,62
3671,14,7,13,49
3672,11,9,14,42
3673,19,3,12,60
3674,17,8,9,59
3675,14,8,12,50
3676,17,6,11,57
3677,21,3,10,66
3678,17,6,11,57
3679,12,9,13,45
3680,19,3,12,60
3681,14,4,16,46
3682,14,13,7,55
3683,20,5,9,65
3684,17,2,15,53
3685,10,6,18,36
3686,16,5,13,53
3687,15,9,10,54
3688,15,4,15,49
3689,14,9,11,51
3690,17,8,9,59
3691,17,5,12,56
3692,15,7,12,52
3693,20,7,7,67
3694,13,8,13,47
3695,14,4,16,46
3696,14,7,13,49
3697,19,5,10,62
3698,15,8,11,53
3699,18,3,13,57
3700,16,11,7,59
3701,17,9,8,60
3702,19,7,8,64
3703,16,10,8,58
3704,18,7,9,61
3705,19,9,6,66
3706,16,9,9,57
3707,16,4,14,52
3708,23,3,8,72
3709,16,7,11,55
3710,18,6,10,60
3711,16,6,12,54
3712,13,10,11,49
3713,12,9,13,45
3714,18,6,10,60
3715,18,7,9,61
3716,17,7,10,58
3717,20,4,10,64
3718,15,6,13,51
3719,11,9,14,42
3720,17,5,12,56
3721,13,7,14,46
3722,16,4,14,52
3723,9,13,12,40
3724,16,5,13,53
3725,21,7,6,70
3726,16,7,11,55
3727,10,7,17,37
3728,13,11,10,50
3729,17,6,11,57
3730,15,5,14,50
3731,15,7,12,52
3732,15,7,12,52
3733,19,4,11,61
3734,19,5,10,62
3735,18,4,12,58
3736,14,9,11,51
3737,16,9,9,57
3738,17,7,10,58
3739,15,8,11,53
3740,18,6,10,60
3741,18,3,13,57
3742,19,6,9,63
3743,17,8,9,59
3744,16,8,10,56
3745,14,10,10,52
3746,16,7,11,55
3747,14,9,11,51
3748,21,4,9,67
3749,14,8,12,50
3750,11,9,14,42
3751,17,7,10,58
3752,19,7,8,64
3753,18,5,11,59
3754,16,8,10,56
3755,16,7,11,55
3756,13,13,8,52
3757,22,7,5,73
3758,23,7,4,76
3759,19,8,7,65
3760,17,6,11,57
3761,17,7,10,58
3762,16,8,10,56
3763,18,5,11,59
3764,16,8,10,56
3765,16,5,13,53
3766,15,7,12,52
3767,16,5,13,53
3768,13,7,14,46
3769,17,6,11,57
3770,15,10,9,55
3771,17,11,6,62
3772,14,8,12,50
3773,11,7,16,40
3774,18,6,10,60
3775,14,7,13,49
3776,19,7,8,64
3777,14,9,11,51
3778,19,8,7,65
3779,9,7,18,34
3780,17,7,10,58
3781,14,8,12,50
3782,20,5,9,65
3783,15,7,12,52
3784,13,9,12,48
3785,19,7,8,64
3786,20,4,10,64
3787,19,9,6,66
3788,11,6,17,39
3789,20,5,9,65
3790,15,5,14,50
3791,16,5,13,53
3792,11,8,15,41
3793,15,9,10,54
3794,17,9,8,60
3795,16,6,12,54
3796,19,7,8,64
3797,15,7,12,52
3798,16,14,4,62
3799,13,6,15,45
3800,20,8,6,68
3801,18,7,9,61
3802,22,3,9,69
3803,17,7,10,58
3804,14,7,13,49
3805,12,11,11,47
3806,17,7,10,58
3807,16,11,7,59
3808,12,10,12,46
3809,16,5,13,53
3810,20,4,10,64
3811,15,7,12,52
3812,16,7,11,55
3813,15,6,13,51
3814,14,12,8,54
3815,17,5,12,56
3816,16,6,12,54
3817,15,7,12,52
3818,14,11,9,53
3819,10,12,12,42
3820,15,8,11,53
3821,17,9,8,60
3822,14,7,13,49
3823,19,5,10,62
3824,13,9,12,48
3825,17,5,12,56
3826,11,11,12,44
3827,17,5,12,56
3828,12,8,14,44
3829,17,5,12,56
3830,18,3,13,57
3831,16,6,12,54
3832,17,5,12,56
3833,19,5,10,62
3834,15,8,11,53
3835,15,7,12,52
3836,15,4,15,49
3837,15,7,12,52
3838,19,8,7,65
3839,20,7,7,67
3840,15,6,13,51
3841,16,10,8,58
3842,18,9,7,63
3843,19,6,9,63
3844,19,5,10,62
3845,16,9,9,57
3846,20,4,10,64
3847,15,3,16,48
3848,18,6,10,60
3849,15,5,14,50
3850,17,5,12,56
3851,11,10,13,43
3852,18,5,11,59
3853,16,4,14,52
3854,18,6,10,60
3855,15,10,9,55
3856,19,7,8,64
3857,17,10,7,61
3858,18,7,9,61
3859,13,12,9,51
3860,16,6,12,54
3861,13,11,10,50
3862,18,6,10,60
3863,16,8,10,56
3864,13,8,13,47
3865,15,11,8,56
3866,12,10,12,46
3867,15,5,14,50
3868,13,5,16,44
3869,17,5,12,56
3870,12,6,16,42
3871,18,3,13,57
3872,15,11,8,56
3873,17,10,7,61
3874,16,9,9,57
3875,17,5,12,56
3876,17,2,15,53
3877,17,7,10,58
3878,15,11,8,56
3879,17,7,10,58
3880,19,4,11,61
3881,16,11,7,59
3882,18,6,10,60
3883,16,5,13,53
3884,21,5,8,68
3885,16,8,10,56
3886,17,9,8,60
3887,18,8,8,62
3888,10,5,19,35
3889,16,10,8,58
3890,18,8,8,62
3891,11,11,12,44
3892,15,11,8,56
3893,17,6,11,57
3894,23,4,7,73
3895,15,6,13,51
3896,20,3,11,63
3897,15,7,12,52
3898,15,12,7,57
3899,10,13,11,43
3900,15,10,9,55
